attendance_percentage,assignment_marks,previous_sem_sgpa,cgpa,backlogs,ia1,ia2,avg_ia,pass_probability,risk_level
71.8,7.5,7.71,7.88,1,40.8,47.0,43.9,80.41,Low
63.4,8.2,10.0,10.0,0,36.8,43.0,39.9,87.3,Low
78.6,8.7,8.31,8.49,0,39.2,45.4,42.3,85.12,Low
85.1,10.0,10.0,10.0,0,50.0,50.0,50.0,96.61,Low
51.3,7.2,5.57,5.75,1,32.2,38.3,35.3,62.01,Medium
28.6,2.3,4.21,4.39,3,14.8,20.9,17.8,39.88,High
87.0,10.0,8.31,8.48,0,45.9,50.0,47.9,92.66,Low
64.2,5.2,4.61,4.79,2,37.1,43.2,40.1,63.17,Medium
72.9,8.2,6.48,6.66,2,43.5,49.7,46.6,77.8,Low
99.2,9.1,10.0,10.0,1,40.5,46.6,43.6,93.57,Low
48.3,6.2,5.78,5.96,2,15.7,21.9,18.8,52.61,High
58.1,3.1,4.27,4.44,0,26.0,32.2,29.1,56.84,Medium
40.8,2.0,3.47,3.65,3,31.1,37.3,34.2,41.07,High
57.5,4.6,3.97,4.15,1,35.3,41.5,38.4,55.76,Medium
80.6,5.6,7.62,7.79,1,29.0,35.2,32.1,82.64,Low
78.3,5.8,7.84,8.01,2,36.6,42.8,39.7,71.81,Medium
68.7,8.1,7.98,8.16,3,29.8,36.0,32.9,80.76,Low
40.7,4.4,5.22,5.39,0,20.1,26.3,23.2,57.6,Medium
20.6,2.2,3.0,3.18,0,25.6,31.8,28.7,46.36,High
73.1,6.4,7.39,7.57,1,24.5,30.7,27.6,76.61,Low
59.0,5.2,5.37,5.54,2,18.7,24.8,21.7,59.36,Medium
69.2,9.9,8.06,8.24,0,32.1,38.3,35.2,89.93,Low
73.3,7.0,7.54,7.71,0,42.0,48.2,45.1,79.07,Low
58.2,5.2,7.45,7.62,1,39.5,45.7,42.6,73.05,Medium
90.7,9.2,8.43,8.61,0,43.5,49.7,46.6,90.46,Low
72.7,6.9,7.25,7.43,2,44.2,50.0,47.1,71.5,Medium
68.4,10.0,8.42,8.59,1,26.2,32.3,29.3,78.71,Low
64.1,4.9,4.19,4.36,2,36.3,42.5,39.4,66.02,Medium
59.3,7.7,5.54,5.71,1,30.3,36.5,33.4,66.41,Medium
57.3,8.6,6.89,7.07,2,40.8,47.0,43.9,80.47,Low
92.2,7.5,6.9,7.07,1,31.7,37.9,34.8,87.29,Low
55.9,5.1,5.76,5.94,2,30.7,36.9,33.8,72.13,Medium
72.8,8.7,7.35,7.52,0,40.1,46.3,43.2,90.23,Low
63.9,7.2,7.53,7.7,2,39.8,46.0,42.9,83.55,Low
77.4,4.6,6.73,6.9,2,21.9,28.1,25.0,68.04,Medium
82.3,6.6,9.14,9.31,1,41.3,47.4,44.4,88.55,Low
22.1,0.0,3.68,3.86,2,9.5,15.6,12.6,34.17,High
51.4,5.4,4.11,4.29,1,26.5,32.7,29.6,56.09,Medium
38.0,3.9,4.4,4.58,1,26.8,33.0,29.9,52.7,High
47.2,2.6,3.49,3.67,0,23.2,29.4,26.3,53.41,High
56.5,3.3,6.72,6.9,2,24.5,30.7,27.6,59.43,Medium
58.4,6.5,7.95,8.13,1,46.9,50.0,48.4,74.12,Medium
66.7,5.6,4.83,5.01,3,41.1,47.3,44.2,63.76,Medium
90.8,6.2,5.59,5.77,0,24.2,30.4,27.3,71.01,Medium
100.0,8.8,8.36,8.53,1,47.5,50.0,48.8,91.16,Low
100.0,9.9,6.95,7.13,0,50.0,50.0,50.0,91.73,Low
56.6,9.9,8.3,8.47,1,31.6,37.8,34.7,78.05,Low
100.0,9.1,9.64,9.81,2,37.0,43.2,40.1,96.86,Low
62.3,8.5,6.38,6.56,2,41.4,47.6,44.5,72.37,Medium
56.0,4.2,4.38,4.55,2,18.5,24.7,21.6,55.78,Medium
45.2,3.4,6.71,6.89,2,27.7,33.9,30.8,60.27,Medium
36.4,3.8,3.28,3.46,2,21.1,27.3,24.2,43.09,High
46.1,3.1,4.37,4.55,2,31.5,37.6,34.5,52.64,High
70.9,6.2,5.5,5.68,0,26.6,32.8,29.7,64.6,Medium
89.7,7.1,8.27,8.44,1,36.0,42.2,39.1,86.43,Low
100.0,7.0,10.0,10.0,0,49.3,50.0,49.7,99.5,Low
31.0,6.9,5.52,5.7,2,29.3,35.5,32.4,59.97,Medium
71.6,6.7,8.41,8.58,1,50.0,50.0,50.0,79.72,Low
42.8,2.7,5.03,5.21,2,14.6,20.8,17.7,42.58,High
84.8,8.9,8.53,8.7,0,40.2,46.4,43.3,89.01,Low
77.6,5.6,5.97,6.15,1,25.3,31.5,28.4,73.66,Medium
47.4,5.2,3.0,3.18,2,25.6,31.7,28.7,48.94,High
76.2,7.4,7.77,7.95,1,35.3,41.5,38.4,77.64,Low
30.3,5.0,5.05,5.22,3,24.1,30.3,27.2,43.24,High
41.3,6.4,5.32,5.5,1,25.3,31.5,28.4,56.37,Medium
64.0,5.8,4.12,4.29,5,24.4,30.6,27.5,46.68,High
52.9,6.8,5.27,5.45,0,30.7,36.9,33.8,69.23,Medium
67.8,7.4,8.09,8.26,0,41.0,47.2,44.1,87.27,Low
81.2,7.2,8.02,8.2,2,32.4,38.5,35.4,75.25,Low
86.2,8.4,5.81,5.98,0,27.5,33.7,30.6,79.45,Low
74.4,7.7,6.26,6.43,1,42.2,48.4,45.3,79.33,Low
87.5,8.8,8.33,8.51,0,44.9,50.0,47.4,88.02,Low
60.9,4.2,6.91,7.08,0,39.2,45.4,42.3,73.1,Medium
45.2,5.1,4.1,4.28,0,16.5,22.7,19.6,54.58,High
100.0,8.7,7.96,8.14,1,31.9,38.0,34.9,87.78,Low
66.6,5.7,6.88,7.06,0,30.9,37.1,34.0,67.8,Medium
94.2,10.0,9.56,9.73,0,50.0,50.0,50.0,99.5,Low
86.2,5.5,7.43,7.61,0,38.4,44.6,41.5,84.85,Low
54.1,8.9,5.84,6.02,1,31.5,37.7,34.6,74.21,Medium
81.5,7.4,7.64,7.81,0,30.9,37.1,34.0,79.76,Low
98.2,10.0,9.91,10.0,0,50.0,50.0,50.0,99.5,Low
78.1,9.8,10.0,10.0,0,44.4,50.0,47.2,95.87,Low
47.9,4.6,6.46,6.63,0,29.5,35.7,32.6,67.04,Medium
60.5,6.9,7.9,8.08,0,39.4,45.5,42.4,80.51,Low
91.6,9.1,8.85,9.03,0,30.2,36.3,33.2,92.89,Low
54.8,6.3,6.29,6.47,0,35.7,41.9,38.8,67.21,Medium
75.5,7.1,8.57,8.74,0,41.2,47.4,44.3,88.39,Low
87.1,3.7,7.17,7.34,0,40.1,46.3,43.2,77.7,Low
60.6,5.2,6.88,7.05,0,40.6,46.8,43.7,74.35,Medium
53.6,8.3,6.32,6.5,2,25.8,32.0,28.9,71.28,Medium
44.0,2.6,4.52,4.69,1,13.0,19.2,16.1,43.13,High
25.4,5.3,5.62,5.79,1,15.4,21.6,18.5,50.54,High
49.3,3.6,5.18,5.36,2,17.7,23.9,20.8,47.52,High
44.2,5.8,6.65,6.82,0,33.5,39.7,36.6,69.06,Medium
77.1,7.2,6.56,6.74,2,37.2,43.3,40.2,77.85,Low
94.1,8.9,10.0,10.0,0,50.0,50.0,50.0,99.5,Low
100.0,10.0,8.45,8.62,0,46.0,50.0,48.0,96.71,Low
51.3,5.3,5.43,5.61,1,32.3,38.5,35.4,67.11,Medium
84.2,8.0,7.86,8.04,1,34.9,41.1,38.0,84.4,Low
60.5,5.7,7.15,7.32,1,27.2,33.4,30.3,72.65,Medium
62.9,7.2,6.59,6.77,4,34.9,41.1,38.0,67.92,Medium
65.3,9.3,6.7,6.87,1,32.9,39.1,36.0,65.37,Medium
79.7,7.7,7.56,7.73,2,41.1,47.3,44.2,79.98,Low
65.4,8.6,5.03,5.21,2,23.7,29.9,26.8,59.54,Medium
78.2,7.8,10.0,10.0,1,36.9,43.1,40.0,86.57,Low
47.3,5.9,4.37,4.55,3,28.7,34.9,31.8,57.71,Medium
62.0,7.5,7.68,7.86,2,40.3,46.4,43.4,74.64,Medium
100.0,9.7,10.0,10.0,0,49.2,50.0,49.6,99.5,Low
70.9,7.5,7.45,7.63,2,40.6,46.8,43.7,72.42,Medium
100.0,9.2,9.13,9.31,0,42.5,48.6,45.5,94.1,Low
67.6,5.8,6.25,6.42,1,34.9,41.1,38.0,73.4,Medium
80.5,8.3,6.92,7.09,1,48.9,50.0,49.4,81.73,Low
53.8,6.9,8.26,8.43,0,39.2,45.4,42.3,80.89,Low
60.6,6.4,6.61,6.79,0,38.1,44.3,41.2,74.2,Medium
56.9,5.4,6.49,6.66,3,40.7,46.9,43.8,65.13,Medium
91.2,7.4,8.78,8.95,0,32.7,38.9,35.8,88.12,Low
55.7,4.8,4.98,5.16,2,19.9,26.0,23.0,55.65,Medium
93.2,8.1,8.31,8.49,0,34.6,40.8,37.7,91.69,Low
92.9,7.7,8.69,8.86,1,41.4,47.6,44.5,95.7,Low
90.5,10.0,6.38,6.56,1,20.6,26.8,23.7,76.53,Low
62.5,4.3,6.15,6.32,1,30.1,36.3,33.2,64.55,Medium
99.6,6.8,8.1,8.28,1,34.0,40.2,37.1,84.18,Low
57.9,5.6,5.83,6.0,2,36.9,43.0,40.0,70.03,Medium
76.2,10.0,8.1,8.27,0,44.4,50.0,47.2,92.33,Low
24.8,1.8,3.53,3.71,2,14.2,20.4,17.3,30.31,High
85.6,6.8,8.13,8.31,1,35.3,41.5,38.4,76.43,Low
42.4,3.8,3.0,3.18,2,22.1,28.3,25.2,41.2,High
39.2,4.7,4.71,4.89,3,15.9,22.1,19.0,47.08,High
100.0,10.0,8.89,9.07,0,42.1,48.3,45.2,97.71,Low
90.1,10.0,7.75,7.92,1,26.0,32.2,29.1,85.58,Low
75.4,4.9,5.33,5.5,1,20.2,26.4,23.3,63.02,Medium
27.0,4.5,4.85,5.02,2,16.0,22.2,19.1,50.9,High
20.0,0.0,3.0,3.18,0,9.3,15.5,12.4,37.63,High
54.1,6.0,6.04,6.22,1,22.8,28.9,25.9,63.46,Medium
89.4,9.8,10.0,10.0,0,50.0,50.0,50.0,99.5,Low
86.0,7.3,8.68,8.86,0,29.1,35.3,32.2,80.51,Low
55.8,3.5,6.58,6.76,1,30.4,36.6,33.5,64.66,Medium
83.3,8.2,7.1,7.27,1,40.9,47.1,44.0,82.86,Low
65.1,1.8,4.59,4.77,0,23.5,29.7,26.6,60.25,Medium
59.4,6.5,6.74,6.92,0,31.6,37.7,34.6,66.78,Medium
65.5,5.3,6.24,6.41,0,24.1,30.2,27.1,67.59,Medium
67.7,5.5,5.24,5.42,2,28.9,35.1,32.0,63.88,Medium
91.3,9.8,6.32,6.5,1,37.9,44.1,41.0,84.12,Low
68.2,8.2,7.45,7.62,1,34.1,40.3,37.2,82.04,Low
73.1,9.5,8.2,8.38,1,40.2,46.4,43.3,87.99,Low
66.9,7.8,4.57,4.74,1,38.1,44.3,41.2,67.79,Medium
87.0,7.2,9.27,9.44,3,47.3,50.0,48.7,89.03,Low
75.2,10.0,9.71,9.88,0,40.9,47.1,44.0,93.74,Low
39.3,3.1,6.37,6.54,0,30.5,36.7,33.6,62.67,Medium
67.9,6.3,5.62,5.8,2,30.9,37.1,34.0,68.37,Medium
94.7,8.4,8.11,8.29,0,39.7,45.9,42.8,90.88,Low
57.1,5.2,6.89,7.06,0,38.3,44.5,41.4,74.58,Medium
90.2,10.0,9.79,9.97,0,44.8,50.0,47.4,99.5,Low
60.6,7.4,5.55,5.73,0,20.4,26.5,23.5,68.74,Medium
100.0,10.0,7.98,8.15,0,49.6,50.0,49.8,99.5,Low
56.7,7.3,7.11,7.29,4,36.6,42.8,39.7,74.61,Medium
64.0,7.4,6.34,6.51,1,34.6,40.8,37.7,74.55,Medium
97.3,10.0,10.0,10.0,0,47.0,50.0,48.5,99.5,Low
60.9,6.6,5.82,5.99,2,25.9,32.1,29.0,65.1,Medium
57.7,6.0,6.75,6.93,1,30.3,36.5,33.4,70.58,Medium
48.1,6.3,4.13,4.3,1,29.9,36.1,33.0,59.63,Medium
79.3,8.7,7.69,7.87,1,39.0,45.2,42.1,88.86,Low
52.3,1.9,5.42,5.6,2,23.2,29.4,26.3,47.38,High
83.7,7.7,7.08,7.26,0,31.3,37.5,34.4,86.49,Low
60.2,3.9,5.74,5.92,0,23.2,29.3,26.3,70.09,Medium
86.6,9.1,8.39,8.56,0,28.3,34.5,31.4,89.32,Low
20.0,5.0,3.0,3.18,4,17.6,23.8,20.7,36.08,High
53.9,4.8,5.68,5.86,2,18.8,25.0,21.9,55.88,Medium
51.9,4.1,3.0,3.18,1,20.6,26.8,23.7,48.75,High
52.8,6.5,5.3,5.47,2,29.6,35.8,32.7,62.92,Medium
63.3,4.3,7.69,7.86,1,40.3,46.5,43.4,77.11,Low
60.0,5.8,6.3,6.48,3,24.0,30.2,27.1,63.37,Medium
65.7,6.9,5.47,5.64,0,31.4,37.6,34.5,72.29,Medium
61.6,2.5,7.46,7.63,0,44.3,50.0,47.2,78.18,Low
76.3,5.8,7.8,7.98,0,47.7,50.0,48.9,87.08,Low
56.1,6.6,4.15,4.32,2,32.3,38.5,35.4,54.65,High
88.9,9.4,6.84,7.01,0,42.4,48.6,45.5,90.05,Low
93.5,8.5,7.07,7.25,0,32.6,38.8,35.7,91.31,Low
84.5,8.7,7.95,8.12,0,42.3,48.5,45.4,89.1,Low
68.1,8.0,7.99,8.17,1,37.6,43.8,40.7,86.01,Low
64.0,8.1,8.01,8.19,3,40.4,46.6,43.5,72.78,Medium
100.0,9.8,9.97,10.0,0,46.9,50.0,48.4,99.5,Low
62.0,6.8,5.82,6.0,3,32.0,38.2,35.1,61.16,Medium
51.4,5.4,7.1,7.28,1,32.5,38.7,35.6,73.56,Medium
50.8,7.3,5.02,5.2,1,29.3,35.5,32.4,68.07,Medium
45.7,7.2,5.21,5.39,1,28.7,34.9,31.8,61.12,Medium
40.1,6.6,3.29,3.47,3,19.4,25.5,22.5,48.85,High
49.7,4.7,4.78,4.95,2,17.0,23.2,20.1,57.56,Medium
78.6,5.3,7.59,7.76,1,44.8,50.0,47.4,80.59,Low
75.7,9.2,6.72,6.9,1,50.0,50.0,50.0,82.76,Low
93.6,7.6,7.62,7.8,1,37.6,43.7,40.7,87.6,Low
56.7,6.0,3.4,3.58,2,18.2,24.4,21.3,47.42,High
80.4,7.4,7.83,8.0,0,36.2,42.4,39.3,84.73,Low
80.6,8.7,7.9,8.08,0,43.8,50.0,46.9,96.05,Low
67.9,5.0,8.1,8.27,3,42.0,48.2,45.1,72.28,Medium
61.3,6.6,4.64,4.81,3,20.0,26.1,23.1,57.81,Medium
98.1,9.7,8.34,8.51,0,37.8,44.0,40.9,95.41,Low
62.7,9.4,8.07,8.25,2,37.0,43.1,40.1,78.19,Low
52.0,5.3,3.69,3.86,2,27.7,33.9,30.8,53.34,High
68.9,4.7,6.35,6.52,1,31.0,37.2,34.1,75.09,Low
56.7,7.5,7.37,7.55,1,25.3,31.5,28.4,73.16,Medium
60.4,8.3,3.94,4.11,3,30.7,36.9,33.8,60.04,Medium
83.9,5.9,6.71,6.89,1,43.5,49.7,46.6,84.85,Low
34.7,4.2,5.48,5.65,0,21.1,27.2,24.1,55.2,Medium
90.6,10.0,9.54,9.72,1,48.2,50.0,49.1,93.1,Low
72.0,9.8,8.78,8.96,0,41.3,47.5,44.4,96.36,Low
51.1,9.8,6.47,6.65,3,25.9,32.1,29.0,65.3,Medium
84.7,6.4,7.94,8.12,4,44.3,50.0,47.1,80.54,Low
22.4,1.3,3.4,3.57,2,16.2,22.4,19.3,33.25,High
37.3,6.5,4.33,4.51,1,27.6,33.8,30.7,56.53,Medium
65.3,4.6,7.68,7.86,4,42.0,48.2,45.1,65.23,Medium
44.5,4.7,6.16,6.34,1,17.5,23.7,20.6,58.28,Medium
75.4,7.9,8.62,8.8,2,36.2,42.4,39.3,79.52,Low
100.0,10.0,9.44,9.61,0,50.0,50.0,50.0,98.25,Low
36.4,5.7,3.88,4.06,1,20.0,26.2,23.1,48.79,High
44.7,6.0,5.08,5.26,1,32.4,38.5,35.5,52.52,High
73.5,6.6,7.25,7.43,4,34.7,40.9,37.8,65.51,Medium
100.0,10.0,7.95,8.12,0,40.7,46.9,43.8,96.73,Low
59.6,10.0,5.17,5.34,3,24.1,30.3,27.2,62.97,Medium
65.6,8.2,8.38,8.56,2,37.3,43.5,40.4,75.46,Low
100.0,10.0,10.0,10.0,0,50.0,50.0,50.0,99.5,Low
32.1,2.2,3.38,3.56,0,22.7,28.9,25.8,43.02,High
64.5,3.7,3.91,4.08,2,26.3,32.5,29.4,56.51,Medium
49.5,5.8,6.35,6.53,0,32.6,38.8,35.7,68.05,Medium
72.4,5.2,5.78,5.95,1,28.3,34.4,31.3,66.23,Medium
75.2,8.2,8.58,8.76,0,35.9,42.1,39.0,86.25,Low
92.2,9.7,7.75,7.93,1,38.1,44.3,41.2,96.77,Low
43.7,5.5,4.77,4.94,2,16.6,22.8,19.7,48.48,High
66.6,7.5,6.66,6.83,0,50.0,50.0,50.0,81.04,Low
53.0,4.1,6.02,6.19,6,38.5,44.7,41.6,58.72,Medium
97.5,10.0,8.64,8.82,2,49.3,50.0,49.6,89.56,Low
67.9,5.7,5.64,5.82,1,31.3,37.5,34.4,61.78,Medium
56.5,3.3,6.5,6.67,1,28.0,34.2,31.1,61.69,Medium
77.6,8.7,8.6,8.77,2,29.8,36.0,32.9,83.77,Low
88.6,9.5,9.36,9.53,1,39.0,45.2,42.1,91.59,Low
76.9,4.2,7.94,8.12,1,38.5,44.7,41.6,77.52,Low
26.4,2.8,3.84,4.01,4,21.3,27.5,24.4,40.22,High
69.0,7.6,7.49,7.66,1,41.9,48.0,45.0,77.1,Low
52.8,6.1,3.48,3.66,2,31.7,37.8,34.7,53.84,High
84.2,6.5,8.41,8.58,1,31.2,37.3,34.2,76.84,Low
60.0,3.2,4.09,4.27,2,17.1,23.3,20.2,51.11,High
83.4,8.6,8.01,8.19,3,47.9,50.0,49.0,83.78,Low
57.2,4.8,6.04,6.22,3,32.5,38.7,35.6,63.53,Medium
53.7,5.4,3.5,3.67,0,20.4,26.5,23.5,50.78,High
73.5,6.5,7.18,7.36,0,39.3,45.5,42.4,79.49,Low
70.6,5.3,8.6,8.78,3,35.3,41.5,38.4,70.26,Medium
49.3,6.8,6.02,6.19,0,29.0,35.2,32.1,66.44,Medium
80.2,9.6,8.74,8.92,0,49.6,50.0,49.8,98.75,Low
63.8,7.3,5.94,6.11,1,48.0,50.0,49.0,73.02,Medium
70.4,6.1,7.83,8.01,0,35.6,41.8,38.7,75.38,Low
79.4,6.1,8.1,8.27,0,40.9,47.1,44.0,82.65,Low
62.9,7.7,4.43,4.6,0,16.9,23.1,20.0,56.34,Medium
78.4,5.5,9.07,9.25,1,34.6,40.8,37.7,78.53,Low
64.5,7.6,6.76,6.94,1,38.1,44.2,41.2,77.47,Low
60.6,7.9,5.96,6.14,4,33.3,39.5,36.4,57.88,Medium
95.3,10.0,8.04,8.22,0,14.9,21.0,17.9,86.02,Low
43.0,4.1,5.98,6.16,2,29.9,36.1,33.0,57.93,Medium
30.7,1.6,3.13,3.3,2,26.9,33.1,30.0,38.78,High
100.0,9.2,8.23,8.4,0,33.7,39.9,36.8,92.64,Low
100.0,9.3,10.0,10.0,0,50.0,50.0,50.0,98.9,Low
61.6,4.8,8.92,9.1,1,11.2,17.3,14.2,73.09,Medium
28.8,4.4,3.52,3.7,2,24.1,30.3,27.2,41.7,High
57.5,7.2,5.6,5.78,1,31.3,37.5,34.4,65.19,Medium
51.9,4.8,5.41,5.58,0,15.1,21.3,18.2,57.14,Medium
77.4,7.4,8.07,8.25,1,35.5,41.7,38.6,84.27,Low
59.7,5.5,5.67,5.85,3,32.6,38.8,35.7,62.88,Medium
83.2,9.9,9.05,9.23,0,41.5,47.7,44.6,84.88,Low
96.6,8.5,7.92,8.09,0,42.6,48.7,45.6,92.72,Low
40.7,5.7,5.39,5.56,3,18.4,24.6,21.5,44.98,High
100.0,8.7,7.23,7.4,0,26.9,33.1,30.0,84.16,Low
100.0,10.0,10.0,10.0,0,50.0,50.0,50.0,99.5,Low
73.5,5.3,7.35,7.53,3,47.7,50.0,48.9,73.0,Medium
58.3,6.1,7.47,7.65,1,39.0,45.2,42.1,76.34,Low
69.3,6.5,6.85,7.02,1,18.9,25.1,22.0,71.58,Medium
86.8,7.5,7.28,7.46,1,28.6,34.8,31.7,76.45,Low
37.4,4.5,3.92,4.09,1,13.4,19.5,16.5,43.84,High
88.6,8.0,5.57,5.75,1,24.2,30.4,27.3,72.44,Medium
63.8,6.7,4.05,4.22,1,31.0,37.2,34.1,56.35,Medium
100.0,9.7,10.0,10.0,0,50.0,50.0,50.0,99.5,Low
55.9,5.5,6.17,6.34,0,22.5,28.7,25.6,70.46,Medium
100.0,10.0,9.4,9.58,0,50.0,50.0,50.0,95.92,Low
47.9,5.4,5.67,5.85,1,28.8,35.0,31.9,60.38,Medium
71.9,6.4,9.06,9.23,1,35.2,41.3,38.2,80.62,Low
65.7,7.1,7.82,8.0,1,35.5,41.7,38.6,84.73,Low
79.9,2.9,7.06,7.23,2,13.0,19.1,16.1,61.86,Medium
68.4,7.2,7.55,7.73,4,33.2,39.4,36.3,67.87,Medium
74.0,8.6,9.13,9.31,0,44.4,50.0,47.2,87.79,Low
55.5,5.4,6.47,6.64,2,32.4,38.6,35.5,65.09,Medium
38.7,6.1,3.0,3.18,2,22.3,28.5,25.4,47.08,High
73.2,5.2,7.63,7.81,2,35.6,41.7,38.7,71.03,Medium
58.2,6.3,3.06,3.24,3,24.5,30.7,27.6,52.94,High
68.9,9.3,5.69,5.87,1,33.1,39.3,36.2,73.65,Medium
60.2,8.2,6.68,6.86,2,40.3,46.5,43.4,75.72,Low
42.4,3.9,3.19,3.37,5,18.8,25.0,21.9,35.51,High
31.8,2.5,3.65,3.82,4,22.5,28.7,25.6,38.5,High
70.0,5.7,9.27,9.45,0,36.8,43.0,39.9,84.41,Low
49.9,5.3,6.9,7.08,2,25.0,31.2,28.1,67.9,Medium
20.0,1.5,3.0,3.18,4,15.9,22.0,19.0,29.6,High
92.0,7.1,7.71,7.89,0,36.8,43.0,39.9,86.53,Low
79.5,6.8,6.11,6.29,1,39.0,45.2,42.1,74.08,Medium
65.6,5.4,6.22,6.4,2,28.1,34.3,31.2,63.41,Medium
46.0,5.2,4.34,4.51,3,20.7,26.9,23.8,49.53,High
90.0,6.5,6.45,6.63,1,38.8,45.0,41.9,81.83,Low
56.3,6.4,7.48,7.66,0,33.4,39.6,36.5,72.83,Medium
100.0,10.0,10.0,10.0,0,42.7,48.9,45.8,99.5,Low
76.9,7.2,8.38,8.56,2,40.3,46.4,43.3,82.39,Low
80.9,10.0,7.39,7.57,4,38.9,45.1,42.0,78.47,Low
69.0,6.8,6.18,6.36,0,38.5,44.7,41.6,69.71,Medium
72.0,5.9,9.98,10.0,0,37.2,43.4,40.3,85.02,Low
63.6,8.4,7.87,8.04,2,50.0,50.0,50.0,75.51,Low
82.2,9.7,9.58,9.75,2,42.0,48.2,45.1,90.91,Low
64.8,5.7,5.43,5.6,1,23.4,29.6,26.5,60.27,Medium
67.5,4.4,6.68,6.86,2,23.3,29.5,26.4,62.76,Medium
46.2,8.4,4.68,4.85,0,17.8,24.0,20.9,55.9,Medium
71.6,6.6,7.73,7.9,1,50.0,50.0,50.0,80.53,Low
86.2,10.0,8.26,8.44,0,50.0,50.0,50.0,89.85,Low
56.6,6.3,5.48,5.65,0,34.3,40.5,37.4,70.83,Medium
47.2,6.9,7.2,7.38,1,24.1,30.3,27.2,68.89,Medium
59.1,9.7,6.78,6.96,3,49.3,50.0,49.7,74.85,Medium
55.6,7.2,7.03,7.2,1,29.4,35.6,32.5,69.56,Medium
85.0,7.6,9.78,9.96,2,40.2,46.4,43.3,82.07,Low
20.0,4.5,3.0,3.18,1,24.9,31.1,28.0,41.34,High
52.8,4.5,6.29,6.46,2,31.6,37.8,34.7,59.71,Medium
65.3,5.7,5.95,6.12,1,42.8,48.9,45.8,72.41,Medium
20.0,1.0,3.0,3.18,2,16.0,22.2,19.1,35.69,High
49.6,3.7,5.84,6.01,3,23.0,29.2,26.1,55.01,Medium
62.7,5.3,6.9,7.08,0,21.9,28.1,25.0,74.05,Medium
60.4,7.0,5.88,6.06,0,19.4,25.5,22.5,64.6,Medium
81.2,6.3,7.83,8.0,0,41.5,47.7,44.6,82.73,Low
75.5,7.1,5.47,5.64,1,39.9,46.1,43.0,76.64,Low
47.4,3.9,5.94,6.12,1,29.4,35.6,32.5,61.39,Medium
78.1,8.5,7.72,7.9,1,33.7,39.8,36.7,80.57,Low
90.1,8.1,8.1,8.28,0,36.0,42.1,39.0,94.81,Low
48.0,3.6,3.22,3.39,2,27.3,33.5,30.4,49.68,High
57.3,5.4,4.64,4.82,1,33.3,39.5,36.4,60.85,Medium
80.7,6.5,8.24,8.42,2,41.8,47.9,44.9,79.31,Low
74.4,8.2,6.36,6.54,1,33.3,39.5,36.4,79.85,Low
73.5,7.9,8.06,8.24,1,33.9,40.1,37.0,81.68,Low
68.2,6.6,6.31,6.48,1,40.0,46.1,43.0,73.75,Medium
79.3,8.8,8.91,9.08,0,18.0,24.2,21.1,86.16,Low
57.4,3.6,5.35,5.53,4,27.9,34.1,31.0,56.15,Medium
57.5,5.0,7.31,7.48,3,50.0,50.0,50.0,72.16,Medium
74.6,7.0,6.58,6.76,2,21.7,27.8,24.7,71.59,Medium
52.0,3.2,5.2,5.38,1,22.0,28.2,25.1,57.6,Medium
28.3,2.6,4.55,4.73,2,20.7,26.8,23.7,46.39,High
91.7,9.1,7.13,7.31,0,36.6,42.8,39.7,84.14,Low
84.4,6.9,6.54,6.71,2,38.3,44.5,41.4,82.24,Low
60.6,3.3,5.77,5.95,0,28.6,34.8,31.7,60.49,Medium
80.6,5.8,7.68,7.85,1,34.2,40.4,37.3,79.89,Low
88.0,7.5,9.09,9.27,0,49.2,50.0,49.6,89.34,Low
20.0,5.4,3.0,3.18,3,14.7,20.9,17.8,35.6,High
24.1,5.5,3.53,3.7,3,43.5,49.7,46.6,46.18,High
54.9,4.6,4.84,5.02,1,27.2,33.4,30.3,59.28,Medium
86.9,10.0,9.45,9.63,0,47.8,50.0,48.9,99.09,Low
63.7,5.4,7.17,7.35,2,24.4,30.6,27.5,63.56,Medium
80.4,7.2,7.09,7.27,0,36.7,42.9,39.8,81.42,Low
54.8,5.0,3.84,4.02,2,32.3,38.5,35.4,59.77,Medium
34.4,5.5,3.01,3.18,2,15.1,21.3,18.2,37.52,High
71.1,7.4,4.75,4.93,0,22.7,28.9,25.8,63.71,Medium
84.1,7.2,6.78,6.96,0,34.7,40.9,37.8,83.75,Low
66.6,7.8,9.82,10.0,1,48.3,50.0,49.1,89.69,Low
73.5,6.3,8.1,8.27,1,32.7,38.9,35.8,79.23,Low
67.9,6.9,6.39,6.57,2,34.0,40.2,37.1,73.54,Medium
76.1,6.5,7.2,7.38,1,22.3,28.5,25.4,70.28,Medium
92.2,8.4,6.8,6.98,2,43.8,50.0,46.9,80.49,Low
89.1,8.7,6.99,7.17,0,45.5,50.0,47.7,85.44,Low
49.6,4.3,3.0,3.18,2,7.8,13.9,10.8,40.69,High
20.0,1.3,3.0,3.18,2,22.8,29.0,25.9,40.73,High
96.2,7.1,8.34,8.51,0,47.9,50.0,48.9,86.68,Low
79.7,9.4,9.05,9.22,0,50.0,50.0,50.0,90.11,Low
53.2,7.1,5.66,5.84,0,29.4,35.6,32.5,62.68,Medium
39.0,3.9,3.34,3.51,0,22.8,28.9,25.9,54.51,High
74.5,6.4,7.0,7.18,0,38.5,44.7,41.6,77.27,Low
87.2,8.7,7.4,7.57,0,48.0,50.0,49.0,87.88,Low
